Sentence,UserID,Datetime,Train/Dev/Test,Score_1,Score_2,Score_3,Score_4,Score_5,Score_6,Score_7,Score_8,Score_9,Score_10,Score_11,Score_12,Score_13,Score_14,Score_15,Score_16,Score_17,Score_18,Score_19,Score_20,Score_21,Score_22,Score_23,Score_24,Score_25,Score_26,Score_27,Score_28,Score_29,Score_30,Score_31,Score_32,Score_33,Score_34,Score_35,Score_36,Score_37,Score_38,Score_39,Score_40
ぼけっとしてたらこんな時間｡チャリあるから食べにでたいのに…,1,2012/07/31 23:48,train,0,1,2,1,1,0,0,1,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,1,1,0,0,2,0,0,0,0,0,0
今日の月も白くて明るい。昨日より雲が少なくてキレイな? と立ち止まる帰り道｡チャリなし生活も悪くない｡,1,2012/08/02 23:09,train,3,0,3,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,2,0,0,0,1,1,0,0,2,0,0,0,0
早寝するつもりが飲み物がなくなりコンビニへ｡ん､今日、風が涼しいな。,1,2012/08/05 00:50,train,1,1,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
眠い、眠れない。,1,2012/08/08 01:36,train,0,2,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,1,0,0,0,0,1,0
ただいま? って新体操してるやん!外食する気満々で家に何もないのに!テレビから離れられない…!,1,2012/08/09 22:24,train,2,1,3,2,0,1,0,2,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
表情筋が衰えてきてる｡まずいな…,1,2012/08/11 01:20,train,0,1,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,1,0,1,0,2,0,0,0,1,0,0,0,1,0,0
やばい｡おもろいな?思ってみてみた「シャレードがいっぱい」｡よすぎるやん。,1,2012/08/16 23:50,train,2,1,2,1,0,0,0,2,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
おなかすいた…夜ご飯仲間募集｡,1,2012/08/17 20:21,train,0,1,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0
よく寝た。暴走バスの夢見た。からだいたい。,1,2012/08/21 20:30,train,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
最近アップにしていたので気づかなかったけど、ちゃんとブローしたらモテキ小宮山夏樹(後期)に似てきてる｡この感じ定着したらパーマしよ。,1,2012/08/21 23:10,train,2,0,2,1,0,0,0,2,2,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,3,0,0,0,0,0,1,0,2,0,0,0,0,0
月末ミーティング終了｡いつものことだが自分のミーティング力のなさに凹む。もう走り出すしかない。バッティングセンターいこうぜ!,1,2012/08/25 19:40,train,0,2,1,0,1,0,2,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,2,0,0,0,0,2,0,0,2,1,0,0,0,1,0
COWCOWヨシ君の顔色が最近ずっと悪い。病気ちゃうん?心配やわ。,1,2012/08/25 21:48,train,0,1,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,3,0,0,0,0,0,1,0,2,0,0
シャンプーいきたい…,1,2012/08/25 22:32,train,0,1,2,0,0,0,2,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0,1,1,0,0,0,0,0
BIGBANGの人がえみちゃんねるにでてた。今、水泳の立石が…似すぎ｡どちらも、生半可に喋りが達者でちょっとウザイ。でも立石なんかすき。,1,2012/08/31 23:08,train,2,0,2,1,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
久々に自炊した。最近すごくやせたと評判なので、ごはんがすすむおかずをたんと。二膳半たべた。よしっ!,1,2012/09/01 00:37,train,2,0,2,0,0,0,0,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
雨…（笑）,1,2012/09/06 08:30,train,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
外反母趾が悪化。なぜ?ヒール止めてるし幅広い靴しか履いてないのに｡本格的に治療すっかな｡,1,2012/09/07 00:54,train,0,1,1,1,0,1,1,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,0,1,0,1,0,0
待ち人は来ないのではないかという疑念がふとよぎる｡涼しくなったなぁ｡,1,2012/09/07 01:18,train,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
昔夢を語った仲間と数年ぶりの再会!相変わらず､だったけど少し大人になっていた僕ら､だった｡それぞれの道で頑張っててきっと色々あるけど、昔みたいに笑える時間が嬉しかった。昔見た未来まであと4年。がんばろ。,1,2012/09/11 01:59,train,3,0,3,1,0,0,0,3,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,2,2,0,0,0,0,0,0,3,1,0,1,0,0,0,0,2
みんな幸せになったらいいなって、なんか普通にそう思う。日曜と月曜と火曜会った人たちありがとう。また明日からがんばろう｡オヤスミナサイ,1,2012/09/12 02:46,train,3,0,0,0,0,0,0,3,0,0,2,0,0,0,0,1,2,0,2,0,0,0,0,0,2,0,2,0,0,0,0,3,1,0,2,0,0,0,0,1
回鍋肉を作るつもりで何か違うやつになった｡でもウマい!ウマすぎるぜ回鍋肉じゃないやつ!!,1,2012/09/12 23:26,train,3,0,3,2,0,0,0,3,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0
朝はパンケーキとサンドイッチ､昼はお弁当とサンドイッチ､夜は回鍋肉とごはんとパンケーキ｡昨日焼いたチョコｹｰｷがもう残り30度…好きなものを好きなときにたべるんだ!明日も焼こ。,1,2012/09/13 01:17,train,3,1,1,0,0,0,1,2,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
天地明察みたいな?おもろいんかな?,1,2012/09/13 22:18,train,0,0,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0
不確かな夜風が待ち人連れ去りぬ。???ふと､待ち人は来ないのではないかという疑念に駆られる。微かに絡みつく風に、煮え切らない自分の心を見たようで。…うーむ。いいねぇ｡,1,2012/09/13 23:33,train,2,1,1,1,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
投げかけたものは返ってくるので､なるべく良いものを投げていたいと思う｡しかし時には叶わないことがある｡そういったとき、自分は試されていると感じる｡そしてたいていの場合､私はその試練に敗ける｡,1,2012/09/14 23:02,train,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
